年份,縣市別,社會人口淨增加數,控制國外遷移之社會人口增加數
107.0,臺 中 市,11268,12044
107.0,臺 南 市,125,469
107.0,高 雄 市,-1990,-1312
107.0,臺 灣 省,-9438,-7771
107.0,宜 蘭 縣,-538,-428
107.0,新 竹 縣,4119,4295
107.0,苗 栗 縣,-3295,-3124
107.0,彰 化 縣,-6650,-6475
107.0,南 投 縣,-2414,-2341
107.0,雲 林 縣,-1187,-1057
107.0,嘉 義 縣,-1136,-1039
107.0,屏 東 縣,-887,-657
107.0,臺 東 縣,205,299
107.0,花 蓮 縣,-164,-69
107.0,澎 湖 縣,395,413
107.0,基 隆 市,-452,-387
107.0,新 竹 市,3126,3254
107.0,嘉 義 市,-560,-455
107.0,福 建 省,1415,1442
107.0,金 門 縣,1308,1324
107.0,連 江 縣,107,118
108.0,新 北 市,19664,20258
108.0,臺 北 市,-26973,-26481
108.0,桃 園 市,18522,18898
108.0,臺 中 市,7482,7752
108.0,臺 南 市,704,917
108.0,高 雄 市,2039,2457
108.0,臺 灣 省,-9162,-8295
108.0,宜 蘭 縣,-148,-77
108.0,新 竹 縣,6250,6374
108.0,苗 栗 縣,-1416,-1318
108.0,彰 化 縣,-6854,-6759
108.0,南 投 縣,-1175,-1096
108.0,雲 林 縣,-1750,-1708
108.0,嘉 義 縣,-1353,-1284
108.0,屏 東 縣,-2593,-2560
108.0,臺 東 縣,-1211,-1184
108.0,花 蓮 縣,-871,-844
108.0,澎 湖 縣,723,736
108.0,基 隆 市,-198,-139
108.0,新 竹 市,2039,2148
108.0,嘉 義 市,-605,-584
108.0,福 建 省,442,456
108.0,金 門 縣,497,509
108.0,連 江 縣,-55,-53
109.0,新 北 市,10577,20572
109.0,臺 北 市,-44440,-31238
109.0,桃 園 市,11506,15379
109.0,臺 中 市,3419,7621
109.0,臺 南 市,-1445,854
109.0,高 雄 市,-4483,-248
109.0,臺 灣 省,-9402,-2373
109.0,宜 蘭 縣,-59,411
109.0,新 竹 縣,6331,7036
109.0,苗 栗 縣,-654,-146
109.0,彰 化 縣,-7836,-6833
109.0,南 投 縣,-1685,-1227
109.0,雲 林 縣,-1358,-893
109.0,嘉 義 縣,-1128,-798
109.0,屏 東 縣,-2571,-1756
109.0,臺 東 縣,-578,-388
109.0,花 蓮 縣,-878,-561
109.0,澎 湖 縣,706,753
109.0,基 隆 市,-308,303
109.0,新 竹 市,1629,2386
109.0,嘉 義 市,-1013,-660
109.0,福 建 省,290,569
109.0,金 門 縣,146,379
109.0,連 江 縣,144,190
110.0,新 北 市,-20005,16797
110.0,臺 北 市,-76097,-30753
110.0,桃 園 市,-2468,11576
110.0,臺 中 市,-7155,9383
110.0,臺 南 市,-6573,2136
110.0,高 雄 市,-16367,-709
110.0,臺 灣 省,-28327,248
110.0,宜 蘭 縣,-1076,840
110.0,新 竹 縣,4545,7161
110.0,苗 栗 縣,-1708,636
110.0,彰 化 縣,-11879,-7414
110.0,南 投 縣,-3667,-1754
110.0,雲 林 縣,-3235,-1178
110.0,嘉 義 縣,-3058,-1596
110.0,屏 東 縣,-3799,-856
110.0,臺 東 縣,-785,-61
110.0,花 蓮 縣,-1901,-506
110.0,澎 湖 縣,472,708
110.0,基 隆 市,-2175,260
110.0,新 竹 市,517,3224
110.0,嘉 義 市,-578,784
110.0,福 建 省,982,1948
110.0,金 門 縣,660,1546
110.0,連 江 縣,322,402
111.0,新 北 市,-3586,8952
111.0,臺 北 市,-37457,-24509
111.0,桃 園 市,6659,11559
111.0,臺 中 市,3839,9575
111.0,臺 南 市,-68,2874
111.0,高 雄 市,-7225,-1824
111.0,臺 灣 省,-4706,5776
111.0,宜 蘭 縣,621,1251
111.0,新 竹 縣,5404,6261
111.0,苗 栗 縣,645,1555
111.0,彰 化 縣,-7630,-5801
111.0,南 投 縣,-1896,-1197
111.0,雲 林 縣,-801,64
111.0,嘉 義 縣,-946,-388
111.0,屏 東 縣,172,1107
111.0,臺 東 縣,429,722
111.0,花 蓮 縣,-768,-362
111.0,澎 湖 縣,1111,1218
111.0,基 隆 市,-260,492
111.0,新 竹 市,-156,1044
111.0,嘉 義 市,-631,-190
111.0,福 建 省,114,1480
111.0,金 門 縣,-199,1068
111.0,連 江 縣,313,412
